Title;Year;Genre;Award Amount;Box Office;Budget;Time (mins);Reviews;Number of Reviews
Jaja w tropikach;2008; Komedia ;0;188072649;92000000;107;[3.0, 3.0, 7.0, 10.0, 17.0, 23.0, 21.0, 11.0, 3.0, 2.0];106673
Who Am I. Możesz być kim chcesz;2014; Thriller ;0;-;-;105;[0.2, 0.2, 0.6, 1.0, 3.0, 9.0, 26.0, 36.0, 17.0, 7.0];26944
Więzień labiryntu: Lek na śmierć;2018; Thriller ;0;288261741;62000000;142;[0.5, 0.7, 3.0, 5.0, 13.0, 23.0, 28.0, 15.0, 6.0, 5.0];67086
Ant-Man i Osa;2018; Akcja ;0;622674139;-;118;[0.2, 0.3, 1.0, 3.0, 9.0, 24.0, 38.0, 19.0, 4.0, 2.0];95084
Drabina Jakubowa;1990; Thriller ;0;26118851;25000000;115;[0.5, 0.3, 0.9, 1.0, 4.0, 10.0, 26.0, 34.0, 16.0, 6.0];40246
Ace Ventura: Zew natury;1995; Komedia ;6;212385533;30000000;105;[1.0, 1.0, 3.0, 5.0, 11.0, 22.0, 28.0, 17.0, 6.0, 4.0];127766
Ghost in the Shell;1995; Akcja ;0;-;-;82;[0.9, 0.3, 0.8, 1.0, 3.0, 7.0, 20.0, 32.0, 21.0, 13.0];70470
Truposz;1995; Dramat ;9;1037847;9000000;121;[0.7, 0.5, 1.0, 2.0, 5.0, 10.0, 23.0, 31.0, 17.0, 10.0];44206
Noc na Ziemi;1991; Dramat ;1;2113387;-;129;[0.3, 0.2, 0.6, 0.9, 2.0, 6.0, 20.0, 38.0, 23.0, 9.0];44565
Hotel Ruanda;2004; Biograficzny ;32;33882243;17500000;121;[0.5, 0.2, 0.4, 0.8, 2.0, 7.0, 25.0, 41.0, 17.0, 6.0];60431
Broken Flowers;2005; Dramat ;14;46720491;10000000;106;[0.6, 0.5, 1.0, 2.0, 6.0, 14.0, 31.0, 30.0, 10.0, 4.0];56888
Barry Seal: Król przemytu;2017; Biograficzny ;0;134866593;50000000;115;[0.1, 0.1, 0.4, 1.0, 5.0, 19.0, 45.0, 25.0, 5.0, 1.0];83600
Strefa interesów;2023; Dramat ;88;52798026;15000000;106;[1.0, 0.8, 2.0, 2.0, 7.0, 13.0, 25.0, 29.0, 14.0, 5.0];48576
Azyl;2017; Biograficzny ;0;23299081;20000000;126;[0.2, 0.2, 0.9, 2.0, 6.0, 16.0, 33.0, 29.0, 9.0, 4.0];44923
Łowca i Królowa Lodu;2016; Fantasy ;0;164989338;115000000;114;[0.3, 0.5, 2.0, 5.0, 14.0, 29.0, 30.0, 13.0, 3.0, 2.0];72712
Z piekła rodem;2001; Kryminał ;0;74558115;35000000;122;[0.2, 0.2, 0.6, 1.0, 5.0, 14.0, 33.0, 32.0, 9.0, 4.0];65689
Roma;2018; Dramat ;130;-;-;135;[0.7, 0.7, 3.0, 3.0, 9.0, 15.0, 27.0, 27.0, 11.0, 3.0];49865
Marley i Ja;2008; Komedia obycz. ;4;242717113;60000000;120;[0.5, 0.4, 1.0, 2.0, 6.0, 15.0, 30.0, 27.0, 10.0, 6.0];102165
Uniwersytet Potworny;2013; Animacja ;27;743559645;200000000;104;[0.1, 0.1, 0.6, 2.0, 6.0, 18.0, 39.0, 26.0, 6.0, 3.0];109455
Przesilenie zimowe;2023; Dramat ;106;45639859;13000000;133;[0.4, 0.2, 0.5, 0.7, 2.0, 7.0, 26.0, 42.0, 17.0, 4.0];44075
Człowiek, który gapił się na kozy;2009; Komedia ;0;68968688;25000000;93;[1.0, 1.0, 4.0, 6.0, 14.0, 23.0, 28.0, 15.0, 5.0, 2.0];74618
American Pie: Wesele;2003; Komedia rom. ;9;231449203;55000000;96;[2.0, 1.0, 3.0, 4.0, 10.0, 20.0, 29.0, 18.0, 6.0, 6.0];124561
Spider-Man Uniwersum;2018; Animacja ;43;384256930;90000000;117;[0.5, 0.1, 0.4, 0.6, 2.0, 6.0, 18.0, 36.0, 26.0, 11.0];95117
Seria Niezgodna: Wierna;2016; Akcja ;9;179246868;110000000;121;[0.8, 2.0, 5.0, 8.0, 19.0, 26.0, 23.0, 11.0, 4.0, 3.0];74313
Dziewczyna w czerwonej pelerynie;2011; Fantasy ;0;89162162;42000000;100;[0.5, 0.9, 3.0, 6.0, 14.0, 23.0, 28.0, 16.0, 5.0, 3.0];85718
Anatomia upadku;2023; Dramat ;93;36051635;6700000;150;[0.6, 0.3, 1.0, 2.0, 6.0, 14.0, 32.0, 33.0, 9.0, 2.0];52136
Giganci ze stali;2011; Akcja ;0;299268508;110000000;127;[0.3, 0.4, 2.0, 3.0, 9.0, 21.0, 34.0, 20.0, 7.0, 4.0];101008
Zabiłem moją matkę;2009; Biograficzny ;0;-;-;96;[0.5, 0.4, 1.0, 2.0, 5.0, 12.0, 28.0, 32.0, 14.0, 6.0];41997
Ziemia obiecana;1974; Obyczajowy ;15;-;-;179;[0.8, 0.3, 0.8, 1.0, 3.0, 7.0, 19.0, 32.0, 21.0, 15.0];55916
Aż do kości;2017; Dramat ;0;-;-;107;[0.1, 0.2, 1.0, 2.0, 9.0, 23.0, 35.0, 20.0, 6.0, 3.0];79066
Tam, gdzie rosną poziomki;1957; Dramat ;9;-;-;91;[1.0, 0.3, 0.7, 1.0, 3.0, 6.0, 18.0, 35.0, 22.0, 12.0];32350
Ip Man;2008; Biograficzny ;0;22108789;-;106;[0.4, 0.2, 0.5, 1.0, 3.0, 7.0, 22.0, 36.0, 20.0, 10.0];73423
Obcy 3;1992; Horror ;0;159814498;50000000;114;[0.4, 0.3, 1.0, 2.0, 6.0, 15.0, 33.0, 27.0, 9.0, 6.0];113202
Między wierszami;2012; Dramat ;0;13231461;6000000;96;[0.1, 0.2, 0.7, 1.0, 5.0, 14.0, 34.0, 32.0, 9.0, 3.0];55087
Brud;2013; Dramat ;0;8486131;-;97;[0.5, 0.6, 2.0, 2.0, 6.0, 14.0, 31.0, 29.0, 11.0, 3.0];47767
Pieskie popołudnie;1975; Dramat ;30;50000000;-;130;[0.3, 0.2, 0.5, 1.0, 3.0, 8.0, 26.0, 38.0, 17.0, 6.0];46771
Sara;1997; Sensacyjny ;2;-;-;107;[0.6, 0.8, 2.0, 4.0, 10.0, 22.0, 32.0, 18.0, 5.0, 3.0];112235
Rękopis znaleziony w Saragossie;1964; Dramat ;0;-;-;177;[1.0, 0.5, 1.0, 2.0, 4.0, 7.0, 16.0, 27.0, 23.0, 20.0];33048
Aż do piekła;2016; Dramat ;77;34996377;12000000;102;[0.1, 0.1, 0.6, 1.0, 5.0, 17.0, 42.0, 29.0, 5.0, 1.0];46535
Ostatnia miłość na Ziemi;2011; Melodramat ;0;-;-;88;[0.4, 0.5, 2.0, 3.0, 7.0, 16.0, 30.0, 27.0, 11.0, 4.0];41465
Wróg;2013; Thriller ;0;3396726;-;90;[1.0, 1.0, 5.0, 6.0, 15.0, 23.0, 27.0, 16.0, 5.0, 1.0];38373
Nieracjonalny mężczyzna;2015; Dramat ;0;27391084;11000000;96;[0.4, 0.7, 3.0, 6.0, 19.0, 31.0, 27.0, 9.0, 2.0, 0.9];53480
Dom Gucci;2021; Biograficzny ;31;153265068;75000000;157;[0.4, 0.5, 2.0, 4.0, 14.0, 28.0, 32.0, 13.0, 3.0, 3.0];79660
Bodyguard;1992; Sensacyjny ;20;411046449;25000000;130;[0.1, 0.3, 1.0, 2.0, 6.0, 16.0, 34.0, 27.0, 9.0, 5.0];104374
Cztery wesela i pogrzeb;1994; Komedia rom. ;27;245700832;4400000;117;[0.3, 0.3, 1.0, 3.0, 8.0, 20.0, 35.0, 23.0, 6.0, 3.0];99096
Bezpieczna przystań;2013; Melodramat ;0;97594140;28000000;115;[0.3, 0.4, 1.0, 3.0, 7.0, 16.0, 30.0, 26.0, 11.0, 6.0];77743
Drużyna A;2010; Komedia ;0;177238796;110000000;117;[0.6, 0.6, 2.0, 3.0, 9.0, 19.0, 32.0, 22.0, 7.0, 4.0];96806
Transporter 2;2005; Akcja ;0;85167639;32000000;87;[0.5, 0.6, 1.0, 3.0, 7.0, 17.0, 33.0, 24.0, 8.0, 6.0];117933
Tron: Dziedzictwo;2010; Akcja ;17;400062763;170000000;127;[0.6, 0.8, 3.0, 5.0, 12.0, 22.0, 29.0, 18.0, 6.0, 4.0];95892
John Carter;2012; Przygodowy ;0;284139100;250000000;132;[0.5, 0.9, 3.0, 5.0, 11.0, 22.0, 30.0, 18.0, 6.0, 3.0];96314
Nie oddychaj;2016; Thriller ;6;157830487;9900000;88;[0.4, 0.7, 2.0, 5.0, 12.0, 27.0, 33.0, 15.0, 4.0, 2.0];81101
To wspaniałe życie;1946; Dramat ;15;8574081;-;130;[0.7, 0.2, 0.4, 0.8, 2.0, 5.0, 17.0, 34.0, 25.0, 16.0];26616
Jedz, módl się, kochaj;2010; Melodramat ;0;204594016;60000000;133;[0.9, 1.0, 5.0, 7.0, 16.0, 25.0, 25.0, 14.0, 4.0, 2.0];82842
Once;2007; Dramat ;21;20710513;150000;85;[0.5, 0.4, 1.0, 2.0, 5.0, 11.0, 24.0, 31.0, 16.0, 7.0];53150
Jupiter: Intronizacja;2015; Akcja ;12;183887723;176000000;125;[2.0, 4.0, 12.0, 14.0, 22.0, 21.0, 14.0, 7.0, 3.0, 2.0];72276
Wieczór gier;2018; Komedia ;0;117679066;37000000;100;[0.3, 0.5, 2.0, 4.0, 12.0, 29.0, 35.0, 14.0, 3.0, 1.0];87131
Sól ziemi;2014; Dokumentalny ;15;5412466;-;110;[0.5, 0.1, 0.4, 0.5, 1.0, 4.0, 12.0, 34.0, 33.0, 15.0];20441
Buntownik bez powodu;1955; Dramat ;8;-;-;111;[0.3, 0.3, 1.0, 2.0, 5.0, 12.0, 27.0, 31.0, 13.0, 7.0];34870
Menu;2022; Thriller ;0;79628200;30000000;106;[0.4, 0.4, 1.0, 3.0, 10.0, 24.0, 36.0, 19.0, 4.0, 2.0];90835
Mistrz;2012; Dramat ;86;28258060;32000000;144;[0.7, 0.9, 3.0, 4.0, 13.0, 21.0, 28.0, 19.0, 6.0, 4.0];29157
Skandalista Larry Flynt;1996; Biograficzny ;31;43600385;36000000;129;[0.9, 0.7, 1.0, 2.0, 6.0, 16.0, 33.0, 27.0, 8.0, 5.0];58011
Zaklęci w czasie;2009; Fantasy ;0;101344412;39000000;107;[0.4, 0.3, 1.0, 2.0, 6.0, 14.0, 30.0, 30.0, 11.0, 5.0];63864
Lokator;1976; Thriller ;0;1924733;-;125;[0.5, 0.2, 0.5, 0.9, 3.0, 7.0, 22.0, 37.0, 21.0, 9.0];37922
Skazaniec;2008; Dramat ;0;-;-;104;[0.3, 0.3, 0.6, 1.0, 3.0, 10.0, 28.0, 37.0, 14.0, 6.0];81035
Rozstanie;2011; Dramat ;32;22926076;500000;123;[0.3, 0.2, 0.9, 1.0, 4.0, 9.0, 24.0, 37.0, 18.0, 5.0];39113
Ewolucja planety małp;2014; Dramat ;26;710644566;170000000;130;[0.3, 0.3, 1.0, 2.0, 7.0, 18.0, 37.0, 26.0, 7.0, 2.0];91600
Pieniądze to nie wszystko;2001; Komedia obycz. ;4;-;-;102;[0.3, 0.4, 1.0, 3.0, 8.0, 20.0, 36.0, 22.0, 6.0, 3.0];117417
Deszczowa piosenka;1952; Komedia ;19;2086028;2540800;103;[0.5, 0.2, 0.5, 1.0, 3.0, 7.0, 21.0, 34.0, 20.0, 13.0];53733
Gwiezdne wojny: Skywalker. Odrodzenie;2019; Przygodowy ;28;1077022372;275000000;141;[3.0, 3.0, 7.0, 9.0, 17.0, 23.0, 22.0, 11.0, 4.0, 3.0];88929
Wałęsa. Człowiek z nadziei;2013; Biograficzny ;0;-;-;127;[3.0, 1.0, 3.0, 4.0, 13.0, 27.0, 31.0, 14.0, 3.0, 1.0];84566
Toy Story 2;1999; Animacja ;32;497375381;90000000;88;[0.2, 0.2, 0.7, 2.0, 5.0, 16.0, 36.0, 28.0, 8.0, 5.0];120864
Destrukcja;2015; Dramat ;0;4366460;10000000;101;[0.2, 0.3, 1.0, 2.0, 9.0, 20.0, 35.0, 23.0, 6.0, 2.0];51414
Człowiek w żelaznej masce;1998; Kostiumowy ;3;182968902;35000000;132;[0.2, 0.2, 0.9, 2.0, 7.0, 20.0, 38.0, 23.0, 6.0, 3.0];92988
Mój brat niedźwiedź;2003; Animacja ;0;250397798;-;85;[0.2, 0.2, 0.5, 1.0, 4.0, 13.0, 30.0, 32.0, 12.0, 7.0];115694
Królowa;2006; Biograficzny ;82;123384128;-;103;[0.4, 0.3, 1.0, 2.0, 7.0, 18.0, 37.0, 24.0, 6.0, 4.0];58488
Przekleństwa niewinności;1999; Dramat ;2;10410044;9000000;96;[0.3, 0.3, 1.0, 2.0, 6.0, 14.0, 30.0, 31.0, 11.0, 5.0];46138
Bad Boys II;2003; Sensacyjny ;0;273339556;130000000;147;[0.3, 0.3, 0.9, 2.0, 5.0, 14.0, 31.0, 31.0, 10.0, 7.0];110758
Ona to on;2006; Komedia rom. ;3;57194667;20000000;105;[1.0, 1.0, 4.0, 7.0, 14.0, 22.0, 24.0, 14.0, 6.0, 7.0];109410
xXx;2002; Akcja ;0;277448382;70000000;124;[1.0, 2.0, 4.0, 6.0, 11.0, 21.0, 27.0, 16.0, 6.0, 7.0];103594
Nie czas na łzy;1999; Dramat ;39;20740607;2000000;118;[0.5, 0.3, 0.9, 2.0, 4.0, 10.0, 26.0, 34.0, 14.0, 8.0];30828
Trzy kolory: Czerwony;1994; Dramat ;27;3600996;-;99;[0.6, 0.2, 0.6, 1.0, 3.0, 7.0, 21.0, 37.0, 20.0, 10.0];45511
Wzgórze nadziei;2003; Melodramat ;56;173013509;79000000;148;[0.3, 0.1, 0.6, 1.0, 4.0, 11.0, 29.0, 36.0, 12.0, 6.0];56300
Stażyści;2013; Komedia ;0;93492844;58000000;119;[0.5, 0.8, 3.0, 5.0, 13.0, 28.0, 31.0, 14.0, 4.0, 2.0];91702
Kontakt;1997; Dramat ;15;171120329;90000000;153;[0.2, 0.2, 0.7, 1.0, 4.0, 13.0, 31.0, 32.0, 12.0, 5.0];77287
Kraina jutra;2015; Familijny ;0;209035668;190000000;130;[0.4, 0.6, 3.0, 6.0, 18.0, 30.0, 26.0, 11.0, 3.0, 2.0];61951
Gra Endera;2013; Akcja ;0;125544024;110000000;114;[0.6, 1.0, 4.0, 6.0, 14.0, 24.0, 27.0, 15.0, 5.0, 3.0];79761
Polowanie na czarownice;2011; Fantasy ;0;91627228;40000000;95;[0.9, 2.0, 5.0, 8.0, 18.0, 27.0, 24.0, 11.0, 3.0, 2.0];92588
Burleska;2010; Melodramat ;12;89519773;55000000;120;[0.4, 0.6, 2.0, 3.0, 8.0, 17.0, 29.0, 23.0, 10.0, 6.0];87021
Niebezpieczne związki;1988; Kostiumowy ;23;34670720;14000000;119;[0.4, 0.2, 0.6, 1.0, 3.0, 8.0, 23.0, 36.0, 18.0, 11.0];51064
Monachium;2005; Dramat ;0;130358911;70000000;164;[0.3, 0.2, 0.7, 1.0, 4.0, 12.0, 33.0, 35.0, 10.0, 4.0];58156
Grindhouse: Planet Terror;2007; Horror ;0;10871224;-;105;[2.0, 2.0, 4.0, 5.0, 11.0, 19.0, 26.0, 18.0, 7.0, 6.0];90386
Debiutanci;2010; Dramat ;23;14311701;3200000;104;[0.3, 0.3, 1.0, 2.0, 6.0, 13.0, 29.0, 32.0, 12.0, 3.0];47795
Kingsajz;1987; Komedia ;3;-;-;104;[0.5, 0.4, 1.0, 2.0, 6.0, 14.0, 30.0, 29.0, 11.0, 6.0];101939
Underworld: Evolution;2006; Horror ;0;111340801;50000000;106;[0.5, 0.5, 2.0, 3.0, 7.0, 16.0, 31.0, 25.0, 9.0, 7.0];104346
Podły, okrutny, zły;2019; Biograficzny ;0;-;-;108;[0.2, 0.2, 1.0, 2.0, 10.0, 27.0, 38.0, 16.0, 3.0, 1.0];51559
Powrót;2003; Dramat ;12;8482993;-;105;[1.0, 0.3, 0.8, 1.0, 3.0, 6.0, 19.0, 33.0, 24.0, 12.0];33189
Good Bye Lenin!;2003; Komedia ;19;79316957;-;121;[0.3, 0.3, 0.8, 2.0, 4.0, 12.0, 32.0, 35.0, 11.0, 4.0];67437
Arizona Dream;1993; Dramat ;4;-;-;142;[0.6, 0.5, 1.0, 2.0, 5.0, 10.0, 23.0, 30.0, 16.0, 10.0];48418
Król Artur;2004; Kostiumowy ;7;203567857;120000000;126;[0.7, 0.8, 2.0, 4.0, 10.0, 21.0, 31.0, 19.0, 6.0, 5.0];90741
Kruk;1994; Thriller ;8;94000000;15000000;102;[0.7, 0.7, 2.0, 3.0, 6.0, 14.0, 27.0, 25.0, 12.0, 10.0];65072
Harry Angel;1987; Thriller ;0;17185632;17000000;113;[0.3, 0.2, 0.6, 1.0, 4.0, 10.0, 26.0, 36.0, 16.0, 6.0];49217
Zakładnik;2004; Dramat ;40;217764291;65000000;120;[0.2, 0.1, 0.6, 1.0, 5.0, 14.0, 37.0, 31.0, 8.0, 3.0];73918
Straight Outta Compton;2015; Biograficzny ;30;200425182;28000000;147;[0.2, 0.1, 0.4, 0.8, 3.0, 10.0, 28.0, 38.0, 15.0, 5.0];59204
System;2015; Dramat ;0;12951093;50000000;137;[0.2, 0.3, 2.0, 3.0, 10.0, 23.0, 36.0, 21.0, 5.0, 1.0];47872
Zbaw nas ode złego;2014; Horror ;0;87937815;30000000;118;[0.3, 0.5, 2.0, 4.0, 11.0, 23.0, 33.0, 18.0, 5.0, 2.0];80440
Cześć Tereska;2001; Dramat ;22;-;-;86;[0.9, 0.8, 2.0, 3.0, 8.0, 18.0, 34.0, 24.0, 7.0, 3.0];80443
47 roninów;2013; Fantasy ;0;150962475;175000000;128;[0.5, 1.0, 4.0, 6.0, 15.0, 26.0, 28.0, 13.0, 4.0, 2.0];80836
W ciemność. Star Trek;2013; Akcja ;0;467365246;190000000;129;[0.3, 0.3, 1.0, 2.0, 6.0, 16.0, 36.0, 27.0, 8.0, 3.0];85242
Niepokój;2007; Thriller ;5;117760134;20000000;105;[0.3, 0.4, 1.0, 3.0, 7.0, 19.0, 34.0, 24.0, 7.0, 4.0];85031
Szklana pułapka 3;1995; Sensacyjny ;0;366101666;90000000;131;[0.2, 0.2, 0.6, 2.0, 5.0, 14.0, 33.0, 31.0, 10.0, 6.0];112364
Szczęki;1975; Thriller ;30;476512065;7000000;124;[0.5, 0.5, 2.0, 3.0, 7.0, 17.0, 32.0, 25.0, 8.0, 5.0];106953
Nomadland;2020; Dramat ;128;39244389;5000000;107;[0.3, 0.2, 1.0, 2.0, 7.0, 16.0, 34.0, 27.0, 8.0, 6.0];48122
Pingwiny z Madagaskaru;2014; Animacja ;0;373552094;132000000;92;[0.2, 0.3, 2.0, 3.0, 10.0, 23.0, 34.0, 19.0, 6.0, 4.0];89943
Szklana pułapka 2;1990; Sensacyjny ;0;240031274;70000000;124;[0.2, 0.2, 0.6, 2.0, 5.0, 14.0, 33.0, 30.0, 9.0, 6.0];112670
Sing;2016; Animacja ;0;634338384;75000000;110;[0.1, 0.1, 0.6, 1.0, 5.0, 15.0, 34.0, 30.0, 10.0, 4.0];92331
Kafarnaum;2018; Dramat ;17;64417003;4000000;120;[0.1, 0.1, 0.2, 0.4, 1.0, 4.0, 15.0, 38.0, 30.0, 11.0];32399
Valerian i Miasto Tysiąca Planet;2017; Akcja ;0;225874228;177200000;137;[0.5, 0.9, 4.0, 6.0, 13.0, 25.0, 29.0, 15.0, 5.0, 3.0];70735
Oszukać przeznaczenie 2;2003; Horror ;0;90426405;26000000;90;[0.9, 1.0, 3.0, 6.0, 13.0, 25.0, 29.0, 14.0, 4.0, 4.0];117045
Uprowadzona 3;2014; Sensacyjny ;0;326479141;48000000;110;[0.4, 0.7, 3.0, 5.0, 13.0, 26.0, 30.0, 15.0, 4.0, 3.0];84843
Exodus: Bogowie i królowie;2014; Dramat ;0;268031828;140000000;150;[0.6, 0.8, 4.0, 6.0, 18.0, 29.0, 27.0, 11.0, 2.0, 1.0];68074
Popiół i diament;1958; Dramat ;10;-;-;110;[0.9, 0.4, 0.9, 1.0, 4.0, 7.0, 21.0, 34.0, 19.0, 12.0];44943
Wpadka;2007; Komedia rom. ;14;219076518;30000000;129;[1.0, 1.0, 4.0, 7.0, 17.0, 29.0, 26.0, 10.0, 2.0, 2.0];99138
Osiem i pół;1963; Dramat ;11;98760;-;138;[1.0, 0.5, 1.0, 2.0, 4.0, 7.0, 18.0, 31.0, 20.0, 16.0];24442
Po prostu walcz!;2008; Akcja ;1;41627431;20000000;110;[0.7, 0.5, 1.0, 3.0, 6.0, 14.0, 28.0, 27.0, 11.0, 8.0];93548
Rock'N'Rolla;2008; Kryminał ;0;25740863;18000000;114;[0.2, 0.2, 1.0, 2.0, 5.0, 13.0, 31.0, 32.0, 11.0, 4.0];66871
Miss Agent;2000; Komedia kryminalna ;7;212742720;45000000;109;[0.5, 0.9, 3.0, 6.0, 14.0, 27.0, 28.0, 13.0, 4.0, 3.0];116585
Mój tydzień z Marilyn;2011; Biograficzny ;29;35057696;-;99;[0.2, 0.3, 2.0, 4.0, 13.0, 28.0, 35.0, 15.0, 3.0, 1.0];59650
Frankenweenie;2012; Animacja ;25;81491068;39000000;87;[0.4, 0.3, 1.0, 2.0, 6.0, 16.0, 34.0, 27.0, 9.0, 4.0];63454
Milion sposobów, jak zginąć na Zachodzie;2014; Komedia ;0;86408083;40000000;114;[1.0, 2.0, 5.0, 7.0, 15.0, 26.0, 27.0, 13.0, 4.0, 2.0];83316
Lara Croft: Tomb Raider;2001; Przygodowy ;0;274703340;115000000;100;[0.6, 1.0, 3.0, 6.0, 13.0, 27.0, 29.0, 13.0, 4.0, 4.0];109424
Pewnego razu na Dzikim Zachodzie;1968; Western ;4;5435024;5000000;165;[1.0, 0.2, 0.6, 1.0, 2.0, 7.0, 18.0, 31.0, 21.0, 17.0];50452
7 uczuć;2018; Dramat ;0;-;-;116;[2.0, 1.0, 3.0, 4.0, 10.0, 19.0, 29.0, 21.0, 7.0, 3.0];65984
Pogromcy duchów;1984; Horror ;11;296578797;30000000;105;[0.3, 0.4, 1.0, 2.0, 7.0, 19.0, 36.0, 24.0, 7.0, 3.0];106604
Boogie Nights;1997; Dramat ;42;43101594;15000000;156;[0.8, 0.6, 1.0, 2.0, 6.0, 13.0, 30.0, 31.0, 11.0, 4.0];29591
Sprzymierzeni;2016; Thriller ;0;119520023;85000000;124;[0.2, 0.2, 1.0, 2.0, 9.0, 23.0, 38.0, 20.0, 4.0, 2.0];60013
Powrót Batmana;1992; Akcja ;16;266822354;80000000;126;[0.2, 0.3, 0.7, 2.0, 5.0, 15.0, 35.0, 28.0, 9.0, 5.0];95162
Mission: Impossible - Ghost Protocol;2011; Sensacyjny ;12;694713380;145000000;133;[0.3, 0.3, 1.0, 2.0, 7.0, 21.0, 38.0, 21.0, 6.0, 4.0];92209
Apartament;2004; Dramat ;0;21568818;30000000;115;[0.5, 0.6, 2.0, 3.0, 6.0, 13.0, 28.0, 29.0, 12.0, 7.0];60270
Przyczajony tygrys, ukryty smok;2000; Fantasy ;91;213977285;17000000;120;[1.0, 1.0, 2.0, 4.0, 8.0, 16.0, 28.0, 24.0, 10.0, 6.0];83197
Bezsenność w Seattle;1993; Dramat ;0;227927165;21000000;105;[0.2, 0.3, 1.0, 3.0, 8.0, 21.0, 38.0, 22.0, 5.0, 3.0];77853
Mechanik: Prawo zemsty;2011; Thriller ;0;51070807;40000000;92;[0.2, 0.2, 0.9, 2.0, 6.0, 17.0, 36.0, 26.0, 8.0, 4.0];90230
Walentynki;2010; Komedia rom. ;15;216485654;52000000;125;[0.7, 1.0, 4.0, 7.0, 18.0, 29.0, 25.0, 10.0, 3.0, 2.0];86031
Underworld: Bunt Lykanów;2009; Horror ;0;91353501;35000000;93;[0.5, 0.5, 2.0, 3.0, 7.0, 16.0, 31.0, 25.0, 9.0, 6.0];97648
Strażnicy marzeń;2012; Animacja ;20;306941670;145000000;97;[0.2, 0.2, 0.7, 1.0, 4.0, 13.0, 29.0, 31.0, 13.0, 7.0];82123
J. Edgar;2011; Biograficzny ;0;84606030;35000000;137;[0.2, 0.2, 1.0, 3.0, 11.0, 27.0, 36.0, 16.0, 3.0, 2.0];37851
Wyspa psów;2018; Animacja ;40;64337744;-;101;[0.3, 0.1, 0.5, 0.8, 3.0, 8.0, 25.0, 38.0, 19.0, 6.0];45889
Pitbull. Ostatni pies;2018; Sensacyjny ;0;-;-;124;[0.7, 0.8, 2.0, 4.0, 11.0, 24.0, 34.0, 17.0, 4.0, 2.0];88608
Han Solo: Gwiezdne wojny - historie;2018; Przygodowy ;0;392924807;-;135;[0.4, 0.4, 1.0, 3.0, 10.0, 24.0, 37.0, 18.0, 4.0, 2.0];79090
Papierowe miasta;2015; Melodramat ;0;85512300;12000000;109;[0.6, 1.0, 5.0, 8.0, 19.0, 26.0, 24.0, 11.0, 4.0, 2.0];65457
1000 lat po Ziemi;2013; Przygodowy ;7;243843127;130000000;100;[2.0, 4.0, 10.0, 13.0, 23.0, 23.0, 15.0, 6.0, 2.0, 1.0];86678
Hansel i Gretel: Łowcy czarownic;2013; Fantasy ;0;226349749;50000000;88;[0.6, 1.0, 3.0, 6.0, 14.0, 26.0, 28.0, 14.0, 4.0, 3.0];88567
Boska Florence;2016; Biograficzny ;26;48902953;29000000;110;[0.4, 0.2, 0.9, 2.0, 8.0, 22.0, 38.0, 22.0, 5.0, 2.0];58746
Straszny film 2;2001; Komedia ;2;141220678;45000000;83;[2.0, 2.0, 5.0, 8.0, 14.0, 24.0, 24.0, 12.0, 4.0, 4.0];115194
Psy II: Ostatnia krew;1994; Sensacyjny ;0;-;-;99;[0.4, 0.3, 1.0, 2.0, 6.0, 14.0, 32.0, 28.0, 10.0, 6.0];97568
Steve Jobs;2015; Biograficzny ;44;34441873;30000000;122;[0.5, 0.7, 3.0, 5.0, 18.0, 29.0, 29.0, 12.0, 2.0, 0.9];46698
Baby są jakieś inne;2011; Dramat ;0;-;-;90;[4.0, 3.0, 9.0, 9.0, 17.0, 20.0, 20.0, 11.0, 4.0, 2.0];83595
Gdzie jest Dory;2016; Animacja ;28;1028570942;200000000;97;[0.1, 0.1, 0.6, 1.0, 6.0, 19.0, 38.0, 25.0, 7.0, 3.0];79820
Tomb Raider;2018; Przygodowy ;0;274650803;94000000;118;[0.5, 0.8, 4.0, 7.0, 19.0, 31.0, 25.0, 9.0, 2.0, 1.0];74393
Kołysanka;2010; Czarna komedia ;0;1240743;-;95;[1.0, 1.0, 4.0, 6.0, 13.0, 21.0, 27.0, 17.0, 6.0, 3.0];88747
The Square;2017; Komedia ;34;9480160;-;142;[1.0, 1.0, 3.0, 3.0, 8.0, 15.0, 28.0, 28.0, 10.0, 2.0];35456
Autopsja Jane Doe;2016; Horror ;0;-;-;86;[0.4, 0.6, 3.0, 5.0, 13.0, 27.0, 31.0, 15.0, 4.0, 1.0];79145
17 Again;2009; Komedia ;5;136267476;20000000;102;[0.9, 1.0, 3.0, 7.0, 15.0, 28.0, 27.0, 12.0, 3.0, 3.0];105427
Pierwszy śnieg;2017; Kryminał ;0;43084060;35000000;119;[1.0, 2.0, 9.0, 12.0, 25.0, 27.0, 17.0, 5.0, 1.0, 0.8];51506
Wodny świat;1995; Przygodowy ;10;264218220;175000000;136;[0.3, 0.5, 2.0, 4.0, 9.0, 21.0, 35.0, 20.0, 6.0, 3.0];104951
Yuma;2012; Dramat ;0;-;-;113;[0.8, 1.0, 4.0, 6.0, 15.0, 25.0, 30.0, 14.0, 3.0, 1.0];76664
Mama;2013; Horror ;0;146428180;15000000;100;[0.8, 2.0, 6.0, 9.0, 20.0, 27.0, 21.0, 10.0, 3.0, 2.0];88694
