Title;Year;Genre;Award Amount;Box Office;Budget;Time (mins);Reviews;Number of Reviews
Lśnienie;1980; Horror ;15;47234635;19000000;146;[0.7, 0.5, 1.0, 2.0, 4.0, 8.0, 18.0, 30.0, 21.0, 15.0];428135
Kod da Vinci;2006; Thriller ;0;760006945;125000000;149;[2.0, 1.0, 4.0, 5.0, 11.0, 18.0, 25.0, 19.0, 8.0, 7.0];581304
Django;2012; Western ;62;426074373;100000000;165;[0.3, 0.1, 0.4, 0.6, 2.0, 4.0, 14.0, 33.0, 32.0, 14.0];511593
Mroczny Rycerz;2008; Akcja ;97;1006234167;185000000;152;[0.5, 0.3, 0.7, 1.0, 3.0, 6.0, 17.0, 33.0, 23.0, 15.0];536623
Truman Show;1998; Dramat ;48;264118201;60000000;103;[0.8, 0.7, 2.0, 3.0, 5.0, 11.0, 24.0, 31.0, 15.0, 8.0];517868
Zapach kobiety;1992; Dramat ;13;134095253;31000000;157;[0.3, 0.2, 0.5, 0.9, 2.0, 6.0, 17.0, 34.0, 25.0, 14.0];369869
Król Lew;1994; Animacja ;32;1063611805;45000000;89;[0.7, 0.4, 0.8, 1.0, 3.0, 6.0, 14.0, 27.0, 22.0, 26.0];584888
Prestiż;2006; Dramat ;14;109676311;40000000;130;[0.3, 0.1, 0.4, 0.7, 2.0, 5.0, 18.0, 36.0, 26.0, 11.0];403467
Adwokat diabła;1997; Thriller ;5;152944660;57000000;144;[0.2, 0.2, 0.5, 0.9, 3.0, 7.0, 21.0, 36.0, 21.0, 11.0];443252
Wilk z Wall Street;2013; Biograficzny ;67;406878233;100000000;179;[0.4, 0.3, 1.0, 1.0, 4.0, 8.0, 21.0, 34.0, 21.0, 9.0];480559
Chłopiec w pasiastej piżamie;2008; Dramat ;0;40416563;12500000;93;[0.3, 0.2, 0.5, 0.8, 2.0, 5.0, 17.0, 35.0, 26.0, 13.0];413577
Władca Pierścieni: Powrót króla;2003; Fantasy ;117;1151301082;94000000;201;[0.8, 0.3, 0.6, 0.9, 2.0, 4.0, 12.0, 27.0, 26.0, 27.0];539810
Interstellar;2014; Sci-Fi ;66;726340177;165000000;169;[0.3, 0.2, 0.8, 1.0, 3.0, 8.0, 18.0, 30.0, 24.0, 14.0];412207
Jestem legendą;2007; Sci-Fi ;10;585410052;150000000;101;[0.3, 0.4, 1.0, 2.0, 5.0, 12.0, 26.0, 30.0, 14.0, 10.0];485396
Więzień nienawiści;1998; Dramat ;8;23875127;20000000;119;[0.4, 0.2, 0.4, 0.8, 2.0, 5.0, 15.0, 34.0, 28.0, 15.0];306983
Władca Pierścieni: Dwie wieże;2002; Fantasy ;93;951403754;94000000;179;[0.5, 0.2, 0.5, 0.8, 2.0, 4.0, 14.0, 30.0, 25.0, 23.0];513603
Sherlock Holmes;2009; Kryminał ;23;524028679;90000000;128;[0.3, 0.2, 0.8, 1.0, 3.0, 9.0, 24.0, 35.0, 17.0, 9.0];450611
Infiltracja;2006; Kryminał ;76;291480452;90000000;152;[0.2, 0.1, 0.4, 0.7, 2.0, 5.0, 19.0, 39.0, 24.0, 10.0];345500
Edward Nożycoręki;1990; Dramat ;14;86024005;20000000;105;[0.6, 0.4, 1.0, 2.0, 4.0, 9.0, 22.0, 30.0, 17.0, 13.0];408889
Stowarzyszenie Umarłych Poetów;1989; Dramat ;22;235860116;16400000;128;[0.4, 0.3, 0.8, 2.0, 3.0, 8.0, 21.0, 33.0, 20.0, 12.0];318452
Co gryzie Gilberta Grape'a;1993; Dramat ;0;10032765;11000000;118;[0.4, 0.3, 0.8, 1.0, 3.0, 8.0, 22.0, 35.0, 18.0, 10.0];304470
Życie jest piękne;1997; Dramat ;55;230098753;20000000;116;[0.5, 0.2, 0.4, 0.6, 2.0, 4.0, 12.0, 30.0, 31.0, 20.0];287014
Pamiętnik;2004; Melodramat ;15;118230644;29000000;123;[0.6, 0.3, 0.8, 1.0, 3.0, 7.0, 17.0, 30.0, 22.0, 17.0];382169
Wszystko za życie;2007; Biograficzny ;40;56675895;15000000;148;[0.5, 0.4, 1.0, 2.0, 4.0, 8.0, 18.0, 30.0, 22.0, 14.0];267196
Bogowie;2014; Biograficzny ;34;11960658;-;121;[0.2, 0.1, 0.3, 0.5, 2.0, 5.0, 20.0, 40.0, 24.0, 8.0];363404
Bruce Wszechmogący;2003; Fantasy ;9;484592874;81000000;101;[0.7, 0.8, 2.0, 4.0, 9.0, 20.0, 29.0, 20.0, 7.0, 6.0];488673
Chłopcy z ferajny;1990; Dramat ;51;47036784;25000000;146;[0.3, 0.1, 0.2, 0.5, 1.0, 4.0, 14.0, 34.0, 29.0, 17.0];318339
Czarny łabędź;2010; Dramat ;114;329398046;13000000;108;[0.4, 0.3, 1.0, 1.0, 4.0, 9.0, 22.0, 34.0, 19.0, 8.0];371477
Braveheart - Waleczne Serce;1995; Dramat historyczny ;39;213216216;72000000;177;[0.4, 0.2, 0.5, 1.0, 2.0, 6.0, 17.0, 31.0, 23.0, 18.0];404735
Epoka lodowcowa;2002; Animacja ;0;383257136;59000000;81;[0.4, 0.3, 0.7, 2.0, 4.0, 11.0, 26.0, 33.0, 14.0, 10.0];498591
Filadelfia;1993; Dramat ;23;206678440;26000000;125;[0.6, 0.3, 0.7, 1.0, 3.0, 7.0, 20.0, 35.0, 19.0, 12.0];292109
Hobbit: Niezwykła podróż;2012; Fantasy ;31;1017030651;180000000;169;[0.5, 0.3, 1.0, 2.0, 4.0, 10.0, 25.0, 32.0, 16.0, 10.0];412454
Hooligans;2005; Dramat ;0;3814717;-;109;[0.6, 0.4, 1.0, 2.0, 5.0, 12.0, 25.0, 30.0, 14.0, 10.0];360035
Kiler;1997; Komedia ;7;-;-;104;[0.4, 0.3, 0.8, 1.0, 3.0, 9.0, 23.0, 34.0, 17.0, 11.0];461214
Buntownik z wyboru;1997; Dramat obyczajowy ;43;225933435;10000000;126;[0.3, 0.1, 0.3, 0.6, 2.0, 4.0, 16.0, 38.0, 27.0, 11.0];299567
Marzyciel;2004; Dramat ;50;116650613;25000000;106;[0.6, 0.4, 1.0, 2.0, 5.0, 10.0, 23.0, 31.0, 16.0, 10.0];254092
Dziewczyna z tatuażem;2011; Kryminał ;35;232617430;90000000;158;[0.2, 0.2, 0.6, 0.9, 3.0, 8.0, 25.0, 39.0, 17.0, 5.0];327910
Sekretne okno;2004; Thriller ;0;92913171;40000000;95;[0.5, 0.5, 2.0, 3.0, 8.0, 16.0, 30.0, 25.0, 9.0, 6.0];247122
Whiplash;2014; Dramat ;85;50360880;3300000;105;[0.2, 0.1, 0.4, 0.6, 2.0, 5.0, 16.0, 35.0, 30.0, 10.0];317672
Za wszelką cenę;2004; Dramat ;52;216763646;30000000;132;[0.4, 0.3, 0.8, 1.0, 4.0, 8.0, 21.0, 34.0, 20.0, 10.0];276756
Hannibal;2001; Thriller ;13;351692268;87000000;131;[0.4, 0.4, 1.0, 2.0, 4.0, 10.0, 24.0, 32.0, 15.0, 11.0];356649
Dwunastu gniewnych ludzi;1957; Dramat sądowy ;22;-;337000;96;[0.3, 0.1, 0.2, 0.3, 0.7, 2.0, 8.0, 26.0, 37.0, 25.0];234106
Człowiek z blizną;1983; Dramat ;0;65884703;25000000;170;[0.4, 0.1, 0.4, 0.7, 2.0, 5.0, 15.0, 32.0, 27.0, 18.0];272883
Zaginiona dziewczyna;2014; Thriller ;72;369330363;61000000;149;[0.2, 0.1, 0.5, 0.8, 3.0, 7.0, 23.0, 41.0, 19.0, 5.0];336775
Chłopaki nie płaczą;2000; Komedia ;0;-;-;96;[0.5, 0.3, 0.8, 1.0, 3.0, 8.0, 22.0, 34.0, 18.0, 12.0];436091
Pan życia i śmierci;2005; Dramat ;0;72617068;50000000;122;[0.4, 0.4, 1.0, 2.0, 5.0, 10.0, 24.0, 32.0, 16.0, 9.0];312375
Mechaniczna pomarańcza;1971; Sci-Fi ;30;26960374;2200000;136;[1.0, 0.6, 1.0, 2.0, 4.0, 7.0, 16.0, 29.0, 23.0, 16.0];220816
Mr. & Mrs. Smith;2005; Akcja ;17;487287646;110000000;120;[0.9, 1.0, 3.0, 5.0, 11.0, 22.0, 28.0, 18.0, 7.0, 6.0];426421
Złap mnie, jeśli potrafisz;2002; Komedia kryminalna ;22;352114312;52000000;141;[0.2, 0.1, 0.3, 0.7, 2.0, 6.0, 23.0, 42.0, 19.0, 7.0];345688
Przerwana lekcja muzyki;1999; Biograficzny ;8;48350205;40000000;127;[0.2, 0.1, 0.4, 0.8, 3.0, 7.0, 22.0, 37.0, 20.0, 9.0];251401
Donnie Darko;2001; Dramat ;0;7012321;6000000;113;[0.9, 0.5, 1.0, 2.0, 4.0, 9.0, 20.0, 30.0, 19.0, 13.0];211291
Pachnidło: Historia mordercy;2006; Dramat ;10;135039943;60000000;147;[0.8, 0.6, 2.0, 2.0, 6.0, 12.0, 25.0, 30.0, 14.0, 8.0];325522
Taksówkarz;1976; Dramat ;34;28579636;1300000;113;[0.4, 0.3, 0.8, 1.0, 3.0, 8.0, 21.0, 33.0, 20.0, 12.0];240489
Harry Potter i Kamień Filozoficzny;2001; Familijny ;46;1024583854;125000000;152;[0.8, 0.4, 1.0, 2.0, 5.0, 12.0, 27.0, 27.0, 11.0, 13.0];441623
Diabeł ubiera się u Prady;2006; Dramat ;32;326551094;35000000;109;[0.6, 0.6, 2.0, 4.0, 8.0, 19.0, 31.0, 22.0, 8.0, 6.0];391808
V jak Vendetta;2005; Thriller ;17;132511035;54000000;132;[0.8, 0.7, 2.0, 3.0, 6.0, 11.0, 23.0, 29.0, 16.0, 10.0];297544
Iluzjonista;2006; Fantasy ;10;87892388;16500000;110;[0.2, 0.1, 0.4, 0.9, 3.0, 8.0, 24.0, 37.0, 18.0, 8.0];292317
Jak zostać królem;2010; Biograficzny ;115;484068861;15000000;118;[0.1, 0.1, 0.5, 0.8, 3.0, 7.0, 24.0, 40.0, 19.0, 6.0];326868
300;2006; Dramat historyczny ;26;456082343;65000000;117;[0.9, 0.6, 2.0, 2.0, 5.0, 11.0, 23.0, 29.0, 15.0, 11.0];400049
W pogoni za szczęściem;2006; Biograficzny ;18;307127625;55000000;117;[0.3, 0.1, 0.3, 0.7, 2.0, 6.0, 18.0, 37.0, 25.0, 11.0];273800
K-PAX;2001; Dramat ;0;65001485;68000000;120;[0.5, 0.4, 1.0, 2.0, 4.0, 10.0, 22.0, 32.0, 18.0, 10.0];330421
Piraci z Karaibów: Skrzynia umarlaka;2006; Fantasy ;46;1066179747;225000000;150;[0.4, 0.2, 0.5, 1.0, 3.0, 9.0, 25.0, 35.0, 15.0, 11.0];428951
Kill Bill;2003; Thriller ;37;180949045;30000000;111;[1.0, 1.0, 2.0, 3.0, 6.0, 10.0, 23.0, 29.0, 15.0, 10.0];381652
Deadpool;2016; Komedia ;38;782837347;58000000;108;[0.6, 0.5, 1.0, 2.0, 5.0, 11.0, 23.0, 30.0, 18.0, 9.0];367585
Alicja w Krainie Czarów;2010; Familijny ;47;1025468216;200000000;108;[0.6, 0.6, 2.0, 3.0, 8.0, 16.0, 29.0, 24.0, 10.0, 7.0];369567
Jestem Bogiem;2011; Thriller ;0;161849455;27000000;105;[0.1, 0.1, 0.5, 1.0, 4.0, 11.0, 29.0, 35.0, 15.0, 5.0];346570
To nie jest kraj dla starych ludzi;2007; Dramat ;89;171627166;25000000;122;[0.6, 0.4, 1.0, 2.0, 4.0, 9.0, 23.0, 35.0, 18.0, 7.0];244622
Krwawy diament;2006; Dramat ;0;171720398;100000000;143;[0.3, 0.3, 0.8, 2.0, 4.0, 10.0, 27.0, 35.0, 14.0, 7.0];267249
Służące;2011; Dramat ;67;216639112;25000000;146;[0.2, 0.1, 0.3, 0.5, 1.0, 5.0, 18.0, 41.0, 26.0, 9.0];285143
Kevin sam w domu;1990; Familijny ;0;476684675;18000000;103;[2.0, 1.0, 2.0, 4.0, 7.0, 14.0, 26.0, 23.0, 10.0, 11.0];429387
Harry Potter i więzień Azkabanu;2004; Familijny ;35;808485294;130000000;141;[0.8, 0.3, 0.7, 1.0, 4.0, 10.0, 25.0, 31.0, 14.0, 14.0];421402
Wywiad z wampirem;1994; Dramat ;31;223664608;60000000;123;[0.4, 0.3, 1.0, 2.0, 4.0, 10.0, 23.0, 32.0, 17.0, 11.0];311853
Ojciec chrzestny II;1974; Dramat ;35;193000000;13000000;200;[0.5, 0.1, 0.3, 0.5, 1.0, 3.0, 12.0, 29.0, 29.0, 24.0];286376
Zjawa;2015; Dramat ;92;532950503;135000000;156;[0.4, 0.4, 1.0, 2.0, 7.0, 14.0, 30.0, 29.0, 11.0, 4.0];278373
Labirynt;2013; Thriller ;19;122126687;46000000;153;[0.1, 0.0, 0.2, 0.4, 2.0, 6.0, 22.0, 44.0, 21.0, 5.0];263862
Harry Potter i Czara Ognia;2005; Familijny ;29;897468952;150000000;157;[0.9, 0.4, 0.9, 2.0, 4.0, 11.0, 26.0, 29.0, 12.0, 13.0];416715
Przełęcz ocalonych;2016; Biograficzny ;68;180563636;40000000;139;[0.2, 0.2, 0.5, 0.8, 2.0, 6.0, 16.0, 33.0, 28.0, 13.0];244548
Igrzyska śmierci;2012; Akcja ;35;694394724;78000000;142;[0.5, 0.5, 2.0, 3.0, 7.0, 15.0, 30.0, 26.0, 10.0, 7.0];381172
Uprowadzona;2008; Sensacyjny ;0;226837760;25000000;93;[0.3, 0.3, 0.7, 1.0, 4.0, 10.0, 25.0, 34.0, 16.0, 9.0];357913
Piraci z Karaibów: Na krańcu świata;2007; Fantasy ;31;960996492;300000000;169;[0.3, 0.2, 0.7, 1.0, 4.0, 10.0, 25.0, 33.0, 15.0, 11.0];395806
Iluzja;2013; Kryminał ;0;351723989;75000000;115;[0.3, 0.3, 1.0, 2.0, 5.0, 13.0, 28.0, 31.0, 13.0, 6.0];345376
Miś;1980; Komedia ;2;-;-;111;[1.0, 0.6, 1.0, 2.0, 4.0, 8.0, 19.0, 29.0, 18.0, 17.0];343099
Batman - Początek;2005; Akcja ;35;373672993;150000000;140;[0.4, 0.3, 0.8, 1.0, 4.0, 10.0, 28.0, 35.0, 13.0, 8.0];365838
Grand Budapest Hotel;2014; Dramat ;117;173082189;25000000;100;[0.4, 0.3, 0.9, 1.0, 4.0, 8.0, 21.0, 36.0, 22.0, 8.0];278213
Helikopter w ogniu;2001; Dramat ;29;172989651;92000000;144;[0.4, 0.4, 0.9, 2.0, 4.0, 8.0, 21.0, 33.0, 19.0, 12.0];316309
Poradnik pozytywnego myślenia;2012; Dramat ;94;236412453;21000000;122;[0.3, 0.3, 1.0, 2.0, 7.0, 15.0, 32.0, 29.0, 10.0, 4.0];303691
Iron Man;2008; Akcja ;38;585796247;140000000;126;[0.3, 0.2, 0.7, 1.0, 3.0, 10.0, 27.0, 34.0, 14.0, 9.0];381876
Trainspotting;1996; Dramat ;16;71991080;3500000;94;[0.5, 0.4, 0.9, 1.0, 3.0, 8.0, 20.0, 34.0, 21.0, 11.0];235449
Joker;2019; Dramat ;99;1078958282;55000000;122;[0.3, 0.2, 0.6, 0.8, 2.0, 5.0, 14.0, 29.0, 31.0, 17.0];347130
Amelia;2001; Dramat ;64;174634081;10000000;129;[1.0, 0.8, 2.0, 3.0, 5.0, 9.0, 20.0, 28.0, 18.0, 13.0];268547
Madagaskar;2005; Animacja ;0;542063846;75000000;86;[0.3, 0.3, 0.8, 2.0, 4.0, 12.0, 29.0, 31.0, 12.0, 9.0];402441
Przekręt;2000; Komedia kryminalna ;0;83557872;10000000;104;[0.5, 0.3, 0.7, 1.0, 3.0, 7.0, 19.0, 34.0, 24.0, 12.0];260658
Gra;1997; Thriller ;0;109423648;50000000;128;[0.3, 0.2, 0.6, 1.0, 3.0, 7.0, 22.0, 38.0, 20.0, 9.0];231516
Choć goni nas czas;2007; Dramat ;0;175372502;45000000;97;[0.2, 0.2, 0.7, 1.0, 4.0, 10.0, 26.0, 34.0, 16.0, 7.0];256722
1408;2007; Horror ;0;131998242;25000000;112;[0.9, 1.0, 3.0, 4.0, 10.0, 18.0, 28.0, 21.0, 8.0, 5.0];272312
